Provincia de procedencia;Relación entre procedencia y destino;Nacionalidad;Sexo;Total
Santa Cruz de Tenerife;A la misma provincia;Españoles;Total;23.465
Santa Cruz de Tenerife;A la misma provincia;Españoles;Hombres;11.407
Santa Cruz de Tenerife;A la misma provincia;Españoles;Mujeres;12.058
Santa Cruz de Tenerife;A la misma provincia;Extranjeros;Total;6.390
Santa Cruz de Tenerife;A la misma provincia;Extranjeros;Hombres;3.228
Santa Cruz de Tenerife;A la misma provincia;Extranjeros;Mujeres;3.162
Santa Cruz de Tenerife;A otras provincias;Total;Total;11.506
Santa Cruz de Tenerife;A otras provincias;Total;Hombres;5.953
Santa Cruz de Tenerife;A otras provincias;Total;Mujeres;5.553
Santa Cruz de Tenerife;A otras provincias;Españoles;Total;9.075
Santa Cruz de Tenerife;A otras provincias;Españoles;Hombres;4.678
Santa Cruz de Tenerife;A otras provincias;Españoles;Mujeres;4.397
Santa Cruz de Tenerife;A otras provincias;Extranjeros;Total;2.431
Santa Cruz de Tenerife;A otras provincias;Extranjeros;Hombres;1.275
Santa Cruz de Tenerife;A otras provincias;Extranjeros;Mujeres;1.156
Segovia;Total;Total;Total;5.807
Segovia;Total;Total;Hombres;2.905
Segovia;Total;Total;Mujeres;2.902
Segovia;Total;Españoles;Total;4.341
Segovia;Total;Españoles;Hombres;2.173
Segovia;Total;Españoles;Mujeres;2.168
Segovia;Total;Extranjeros;Total;1.466
Segovia;Total;Extranjeros;Hombres;732
Segovia;Total;Extranjeros;Mujeres;734
Segovia;A la misma provincia;Total;Total;2.509
Segovia;A la misma provincia;Total;Hombres;1.252
Segovia;A la misma provincia;Total;Mujeres;1.257
Segovia;A la misma provincia;Españoles;Total;1.837
Segovia;A la misma provincia;Españoles;Hombres;923
Segovia;A la misma provincia;Españoles;Mujeres;914
Segovia;A la misma provincia;Extranjeros;Total;672
Segovia;A la misma provincia;Extranjeros;Hombres;329
Segovia;A la misma provincia;Extranjeros;Mujeres;343
Segovia;A otras provincias;Total;Total;3.298
Segovia;A otras provincias;Total;Hombres;1.653
Segovia;A otras provincias;Total;Mujeres;1.645
Segovia;A otras provincias;Españoles;Total;2.504
Segovia;A otras provincias;Españoles;Hombres;1.250
Segovia;A otras provincias;Españoles;Mujeres;1.254
Segovia;A otras provincias;Extranjeros;Total;794
Segovia;A otras provincias;Extranjeros;Hombres;403
Segovia;A otras provincias;Extranjeros;Mujeres;391
Sevilla;Total;Total;Total;48.286
Sevilla;Total;Total;Hombres;24.097
Sevilla;Total;Total;Mujeres;24.189
Sevilla;Total;Españoles;Total;42.817
Sevilla;Total;Españoles;Hombres;21.465
Sevilla;Total;Españoles;Mujeres;21.352
Sevilla;Total;Extranjeros;Total;5.469
Sevilla;Total;Extranjeros;Hombres;2.632
Sevilla;Total;Extranjeros;Mujeres;2.837
Sevilla;A la misma provincia;Total;Total;28.889
Sevilla;A la misma provincia;Total;Hombres;14.196
Sevilla;A la misma provincia;Total;Mujeres;14.693
Sevilla;A la misma provincia;Españoles;Total;26.435
Sevilla;A la misma provincia;Españoles;Hombres;13.105
Sevilla;A la misma provincia;Españoles;Mujeres;13.330
Sevilla;A la misma provincia;Extranjeros;Total;2.454
Sevilla;A la misma provincia;Extranjeros;Hombres;1.091
Sevilla;A la misma provincia;Extranjeros;Mujeres;1.363
Sevilla;A otras provincias;Total;Total;19.397
Sevilla;A otras provincias;Total;Hombres;9.901
Sevilla;A otras provincias;Total;Mujeres;9.496
Sevilla;A otras provincias;Españoles;Total;16.382
Sevilla;A otras provincias;Españoles;Hombres;8.360
Sevilla;A otras provincias;Españoles;Mujeres;8.022
Sevilla;A otras provincias;Extranjeros;Total;3.015
Sevilla;A otras provincias;Extranjeros;Hombres;1.541
Sevilla;A otras provincias;Extranjeros;Mujeres;1.474
Soria;Total;Total;Total;2.762
Soria;Total;Total;Hombres;1.413
Soria;Total;Total;Mujeres;1.349
Soria;Total;Españoles;Total;2.180
Soria;Total;Españoles;Hombres;1.101
Soria;Total;Españoles;Mujeres;1.079
Soria;Total;Extranjeros;Total;582
Soria;Total;Extranjeros;Hombres;312
Soria;Total;Extranjeros;Mujeres;270
Soria;A la misma provincia;Total;Total;1.079
Soria;A la misma provincia;Total;Hombres;561
Soria;A la misma provincia;Total;Mujeres;518
Soria;A la misma provincia;Españoles;Total;878
Soria;A la misma provincia;Españoles;Hombres;458
Soria;A la misma provincia;Españoles;Mujeres;420
Soria;A la misma provincia;Extranjeros;Total;201
Soria;A la misma provincia;Extranjeros;Hombres;103
Soria;A la misma provincia;Extranjeros;Mujeres;98
Soria;A otras provincias;Total;Total;1.683
Soria;A otras provincias;Total;Hombres;852
Soria;A otras provincias;Total;Mujeres;831
Soria;A otras provincias;Españoles;Total;1.302
Soria;A otras provincias;Españoles;Hombres;643
Soria;A otras provincias;Españoles;Mujeres;659
Soria;A otras provincias;Extranjeros;Total;381
Soria;A otras provincias;Extranjeros;Hombres;209
Soria;A otras provincias;Extranjeros;Mujeres;172
Tarragona;Total;Total;Total;32.516
Tarragona;Total;Total;Hombres;16.451
Tarragona;Total;Total;Mujeres;16.065
Tarragona;Total;Españoles;Total;24.399
Tarragona;Total;Españoles;Hombres;12.117
Tarragona;Total;Españoles;Mujeres;12.282
Tarragona;Total;Extranjeros;Total;8.117
Tarragona;Total;Extranjeros;Hombres;4.334
Tarragona;Total;Extranjeros;Mujeres;3.783
Tarragona;A la misma provincia;Total;Total;18.457
Tarragona;A la misma provincia;Total;Hombres;9.240
Tarragona;A la misma provincia;Total;Mujeres;9.217
Tarragona;A la misma provincia;Españoles;Total;14.502
Tarragona;A la misma provincia;Españoles;Hombres;7.176
Tarragona;A la misma provincia;Españoles;Mujeres;7.326
Tarragona;A la misma provincia;Extranjeros;Total;3.955
Tarragona;A la misma provincia;Extranjeros;Hombres;2.064
Tarragona;A la misma provincia;Extranjeros;Mujeres;1.891
Tarragona;A otras provincias;Total;Total;14.059
Tarragona;A otras provincias;Total;Hombres;7.211
Tarragona;A otras provincias;Total;Mujeres;6.848
Tarragona;A otras provincias;Españoles;Total;9.897
Tarragona;A otras provincias;Españoles;Hombres;4.941
Tarragona;A otras provincias;Españoles;Mujeres;4.956
Tarragona;A otras provincias;Extranjeros;Total;4.162
Tarragona;A otras provincias;Extranjeros;Hombres;2.270
Tarragona;A otras provincias;Extranjeros;Mujeres;1.892
Teruel;Total;Total;Total;4.711
Teruel;Total;Total;Hombres;2.436
Teruel;Total;Total;Mujeres;2.275
Teruel;Total;Españoles;Total;3.582
Teruel;Total;Españoles;Hombres;1.827
Teruel;Total;Españoles;Mujeres;1.755
Teruel;Total;Extranjeros;Total;1.129
Teruel;Total;Extranjeros;Hombres;609
Teruel;Total;Extranjeros;Mujeres;520
Teruel;A la misma provincia;Total;Total;1.682
Teruel;A la misma provincia;Total;Hombres;875
Teruel;A la misma provincia;Total;Mujeres;807
Teruel;A la misma provincia;Españoles;Total;1.248
Teruel;A la misma provincia;Españoles;Hombres;643
Teruel;A la misma provincia;Españoles;Mujeres;605
Teruel;A la misma provincia;Extranjeros;Total;434
Teruel;A la misma provincia;Extranjeros;Hombres;232
Teruel;A la misma provincia;Extranjeros;Mujeres;202
Teruel;A otras provincias;Total;Total;3.029
Teruel;A otras provincias;Total;Hombres;1.561
Teruel;A otras provincias;Total;Mujeres;1.468
Teruel;A otras provincias;Españoles;Total;2.334
Teruel;A otras provincias;Españoles;Hombres;1.184
Teruel;A otras provincias;Españoles;Mujeres;1.150
Teruel;A otras provincias;Extranjeros;Total;695
Teruel;A otras provincias;Extranjeros;Hombres;377
Teruel;A otras provincias;Extranjeros;Mujeres;318
Toledo;Total;Total;Total;28.984
Toledo;Total;Total;Hombres;14.552
Toledo;Total;Total;Mujeres;14.432
Toledo;Total;Españoles;Total;23.091
Toledo;Total;Españoles;Hombres;11.595
Toledo;Total;Españoles;Mujeres;11.496
Toledo;Total;Extranjeros;Total;5.893
Toledo;Total;Extranjeros;Hombres;2.957
Toledo;Total;Extranjeros;Mujeres;2.936
Toledo;A la misma provincia;Total;Total;10.355
Toledo;A la misma provincia;Total;Hombres;5.173
Toledo;A la misma provincia;Total;Mujeres;5.182
Toledo;A la misma provincia;Españoles;Total;8.613
Toledo;A la misma provincia;Españoles;Hombres;4.304
Toledo;A la misma provincia;Españoles;Mujeres;4.309
Toledo;A la misma provincia;Extranjeros;Total;1.742
Toledo;A la misma provincia;Extranjeros;Hombres;869
Toledo;A la misma provincia;Extranjeros;Mujeres;873
Toledo;A otras provincias;Total;Total;18.629
Toledo;A otras provincias;Total;Hombres;9.379
Toledo;A otras provincias;Total;Mujeres;9.250
Toledo;A otras provincias;Españoles;Total;14.478
Toledo;A otras provincias;Españoles;Hombres;7.291
Toledo;A otras provincias;Españoles;Mujeres;7.187
Toledo;A otras provincias;Extranjeros;Total;4.151
Toledo;A otras provincias;Extranjeros;Hombres;2.088
Toledo;A otras provincias;Extranjeros;Mujeres;2.063
Valencia/València;Total;Total;Total;84.621
Valencia/València;Total;Total;Hombres;42.725
Valencia/València;Total;Total;Mujeres;41.896
Valencia/València;Total;Españoles;Total;67.474
Valencia/València;Total;Españoles;Hombres;33.727
Valencia/València;Total;Españoles;Mujeres;33.747
Valencia/València;Total;Extranjeros;Total;17.147
Valencia/València;Total;Extranjeros;Hombres;8.998
Valencia/València;Total;Extranjeros;Mujeres;8.149
Valencia/València;A la misma provincia;Total;Total;59.813
Valencia/València;A la misma provincia;Total;Hombres;29.723
Valencia/València;A la misma provincia;Total;Mujeres;30.090
Valencia/València;A la misma provincia;Españoles;Total;50.112
Valencia/València;A la misma provincia;Españoles;Hombres;24.892
Valencia/València;A la misma provincia;Españoles;Mujeres;25.220
Valencia/València;A la misma provincia;Extranjeros;Total;9.701
Valencia/València;A la misma provincia;Extranjeros;Hombres;4.831
Valencia/València;A la misma provincia;Extranjeros;Mujeres;4.870
Valencia/València;A otras provincias;Total;Total;24.808
Valencia/València;A otras provincias;Total;Hombres;13.002
Valencia/València;A otras provincias;Total;Mujeres;11.806
Valencia/València;A otras provincias;Españoles;Total;17.362
Valencia/València;A otras provincias;Españoles;Hombres;8.835
Valencia/València;A otras provincias;Españoles;Mujeres;8.527
Valencia/València;A otras provincias;Extranjeros;Total;7.446
Valencia/València;A otras provincias;Extranjeros;Hombres;4.167
Valencia/València;A otras provincias;Extranjeros;Mujeres;3.279
Valladolid;Total;Total;Total;14.452
Valladolid;Total;Total;Hombres;7.196
Valladolid;Total;Total;Mujeres;7.256
Valladolid;Total;Españoles;Total;12.616
Valladolid;Total;Españoles;Hombres;6.261
Valladolid;Total;Españoles;Mujeres;6.355
Valladolid;Total;Extranjeros;Total;1.836
Valladolid;Total;Extranjeros;Hombres;935
Valladolid;Total;Extranjeros;Mujeres;901
Valladolid;A la misma provincia;Total;Total;7.787
Valladolid;A la misma provincia;Total;Hombres;3.882
Valladolid;A la misma provincia;Total;Mujeres;3.905
Valladolid;A la misma provincia;Españoles;Total;7.086
Valladolid;A la misma provincia;Españoles;Hombres;3.535
Valladolid;A la misma provincia;Españoles;Mujeres;3.551
Valladolid;A la misma provincia;Extranjeros;Total;701
Valladolid;A la misma provincia;Extranjeros;Hombres;347
Valladolid;A la misma provincia;Extranjeros;Mujeres;354
Valladolid;A otras provincias;Total;Total;6.665
Valladolid;A otras provincias;Total;Hombres;3.314
Valladolid;A otras provincias;Total;Mujeres;3.351
Valladolid;A otras provincias;Españoles;Total;5.530
Valladolid;A otras provincias;Españoles;Hombres;2.726
Valladolid;A otras provincias;Españoles;Mujeres;2.804
Valladolid;A otras provincias;Extranjeros;Total;1.135
Valladolid;A otras provincias;Extranjeros;Hombres;588
Valladolid;A otras provincias;Extranjeros;Mujeres;547
Zamora;Total;Total;Total;5.360
Zamora;Total;Total;Hombres;2.668
Zamora;Total;Total;Mujeres;2.692
Zamora;Total;Españoles;Total;4.685
Zamora;Total;Españoles;Hombres;2.320
Zamora;Total;Españoles;Mujeres;2.365
Zamora;Total;Extranjeros;Total;675
Zamora;Total;Extranjeros;Hombres;348
Zamora;Total;Extranjeros;Mujeres;327
Zamora;A la misma provincia;Total;Total;2.165
Zamora;A la misma provincia;Total;Hombres;1.087
Zamora;A la misma provincia;Total;Mujeres;1.078
Zamora;A la misma provincia;Españoles;Total;1.930
Zamora;A la misma provincia;Españoles;Hombres;963
Zamora;A la misma provincia;Españoles;Mujeres;967
Zamora;A la misma provincia;Extranjeros;Total;235
Zamora;A la misma provincia;Extranjeros;Hombres;124
Zamora;A la misma provincia;Extranjeros;Mujeres;111
Zamora;A otras provincias;Total;Total;3.195
Zamora;A otras provincias;Total;Hombres;1.581
Zamora;A otras provincias;Total;Mujeres;1.614
Zamora;A otras provincias;Españoles;Total;2.755
Zamora;A otras provincias;Españoles;Hombres;1.357
Zamora;A otras provincias;Españoles;Mujeres;1.398
Zamora;A otras provincias;Extranjeros;Total;440
Zamora;A otras provincias;Extranjeros;Hombres;224
Zamora;A otras provincias;Extranjeros;Mujeres;216
Zaragoza;Total;Total;Total;23.234
Zaragoza;Total;Total;Hombres;12.107
Zaragoza;Total;Total;Mujeres;11.127
Zaragoza;Total;Españoles;Total;17.204
Zaragoza;Total;Españoles;Hombres;8.740
Zaragoza;Total;Españoles;Mujeres;8.464
Zaragoza;Total;Extranjeros;Total;6.030
Zaragoza;Total;Extranjeros;Hombres;3.367
Zaragoza;Total;Extranjeros;Mujeres;2.663
Zaragoza;A la misma provincia;Total;Total;11.188
Zaragoza;A la misma provincia;Total;Hombres;5.534
Zaragoza;A la misma provincia;Total;Mujeres;5.654
Zaragoza;A la misma provincia;Españoles;Total;9.088
Zaragoza;A la misma provincia;Españoles;Hombres;4.519
Zaragoza;A la misma provincia;Españoles;Mujeres;4.569
Zaragoza;A la misma provincia;Extranjeros;Total;2.100
Zaragoza;A la misma provincia;Extranjeros;Hombres;1.015
Zaragoza;A la misma provincia;Extranjeros;Mujeres;1.085
Zaragoza;A otras provincias;Total;Total;12.046
Zaragoza;A otras provincias;Total;Hombres;6.573
Zaragoza;A otras provincias;Total;Mujeres;5.473
Zaragoza;A otras provincias;Españoles;Total;8.116
Zaragoza;A otras provincias;Españoles;Hombres;4.221
Zaragoza;A otras provincias;Españoles;Mujeres;3.895
Zaragoza;A otras provincias;Extranjeros;Total;3.930
Zaragoza;A otras provincias;Extranjeros;Hombres;2.352
Zaragoza;A otras provincias;Extranjeros;Mujeres;1.578
Ceuta;Total;Total;Total;2.485
Ceuta;Total;Total;Hombres;1.394
Ceuta;Total;Total;Mujeres;1.091
Ceuta;Total;Españoles;Total;2.283
Ceuta;Total;Españoles;Hombres;1.300
Ceuta;Total;Españoles;Mujeres;983
Ceuta;Total;Extranjeros;Total;202
Ceuta;Total;Extranjeros;Hombres;94
Ceuta;Total;Extranjeros;Mujeres;108
Ceuta;A la misma provincia;Total;Total;0
Ceuta;A la misma provincia;Total;Hombres;0
Ceuta;A la misma provincia;Total;Mujeres;0
Ceuta;A la misma provincia;Españoles;Total;0
Ceuta;A la misma provincia;Españoles;Hombres;0
Ceuta;A la misma provincia;Españoles;Mujeres;0
Ceuta;A la misma provincia;Extranjeros;Total;0
Ceuta;A la misma provincia;Extranjeros;Hombres;0
Ceuta;A la misma provincia;Extranjeros;Mujeres;0
Ceuta;A otras provincias;Total;Total;2.485
Ceuta;A otras provincias;Total;Hombres;1.394
Ceuta;A otras provincias;Total;Mujeres;1.091
Ceuta;A otras provincias;Españoles;Total;2.283
Ceuta;A otras provincias;Españoles;Hombres;1.300
Ceuta;A otras provincias;Españoles;Mujeres;983
Ceuta;A otras provincias;Extranjeros;Total;202
Ceuta;A otras provincias;Extranjeros;Hombres;94
Ceuta;A otras provincias;Extranjeros;Mujeres;108
Melilla;Total;Total;Total;3.035
Melilla;Total;Total;Hombres;1.698
Melilla;Total;Total;Mujeres;1.337
Melilla;Total;Españoles;Total;2.377
Melilla;Total;Españoles;Hombres;1.340
Melilla;Total;Españoles;Mujeres;1.037
Melilla;Total;Extranjeros;Total;658
Melilla;Total;Extranjeros;Hombres;358
Melilla;Total;Extranjeros;Mujeres;300
Melilla;A la misma provincia;Total;Total;0
Melilla;A la misma provincia;Total;Hombres;0
Melilla;A la misma provincia;Total;Mujeres;0
Melilla;A la misma provincia;Españoles;Total;0
Melilla;A la misma provincia;Españoles;Hombres;0
Melilla;A la misma provincia;Españoles;Mujeres;0
Melilla;A la misma provincia;Extranjeros;Total;0
Melilla;A la misma provincia;Extranjeros;Hombres;0
Melilla;A la misma provincia;Extranjeros;Mujeres;0
Melilla;A otras provincias;Total;Total;3.035
Melilla;A otras provincias;Total;Hombres;1.698
Melilla;A otras provincias;Total;Mujeres;1.337
Melilla;A otras provincias;Españoles;Total;2.377
Melilla;A otras provincias;Españoles;Hombres;1.340
Melilla;A otras provincias;Españoles;Mujeres;1.037
Melilla;A otras provincias;Extranjeros;Total;658
Melilla;A otras provincias;Extranjeros;Hombres;358
Melilla;A otras provincias;Extranjeros;Mujeres;300
